V2	V(out)	V(n002)
1.030000000000000e+00	4.864058e+00	1.030000e+00
1.040000000000000e+00	4.860994e+00	1.040000e+00
1.050000000000000e+00	4.857886e+00	1.050000e+00
1.060000000000000e+00	4.854733e+00	1.060000e+00
1.070000000000000e+00	4.851534e+00	1.070000e+00
1.080000000000000e+00	4.848289e+00	1.080000e+00
1.090000000000000e+00	4.844996e+00	1.090000e+00
1.100000000000000e+00	4.841657e+00	1.100000e+00
1.110000000000000e+00	4.838270e+00	1.110000e+00
1.120000000000000e+00	4.834835e+00	1.120000e+00
1.130000000000000e+00	4.831351e+00	1.130000e+00
1.140000000000000e+00	4.827817e+00	1.140000e+00
1.150000000000000e+00	4.824234e+00	1.150000e+00
1.160000000000000e+00	4.820601e+00	1.160000e+00
1.170000000000000e+00	4.816916e+00	1.170000e+00
1.180000000000000e+00	4.813180e+00	1.180000e+00
1.190000000000000e+00	4.809392e+00	1.190000e+00
1.200000000000000e+00	4.805551e+00	1.200000e+00
1.210000000000000e+00	4.801657e+00	1.210000e+00
1.220000000000000e+00	4.797709e+00	1.220000e+00
1.230000000000000e+00	4.793706e+00	1.230000e+00
1.240000000000000e+00	4.789648e+00	1.240000e+00
1.250000000000000e+00	4.785534e+00	1.250000e+00
1.260000000000000e+00	4.781363e+00	1.260000e+00
1.270000000000000e+00	4.777135e+00	1.270000e+00
1.280000000000000e+00	4.772850e+00	1.280000e+00
1.290000000000000e+00	4.768505e+00	1.290000e+00
1.300000000000000e+00	4.764102e+00	1.300000e+00
1.310000000000000e+00	4.759637e+00	1.310000e+00
1.320000000000000e+00	4.755113e+00	1.320000e+00
1.330000000000000e+00	4.750526e+00	1.330000e+00
1.340000000000000e+00	4.745877e+00	1.340000e+00
1.350000000000000e+00	4.741165e+00	1.350000e+00
1.360000000000000e+00	4.736388e+00	1.360000e+00
1.370000000000000e+00	4.731547e+00	1.370000e+00
1.380000000000000e+00	4.726640e+00	1.380000e+00
