time	V(a)	V(b)	V(out)	I(V1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
4.882812480489244e-16	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
9.765624960978488e-16	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.953124992195698e-15	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
3.906249984391395e-15	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
7.812499968782791e-15	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.562499993756558e-14	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
3.124999987513116e-14	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
6.249999975026233e-14	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.249999995005247e-13	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
2.499999990010493e-13	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
4.999999980020986e-13	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
9.999999960041972e-13	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.999999992008394e-12	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
3.999999984016789e-12	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
7.999999968033578e-12	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.599999993606716e-11	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
3.199999987213431e-11	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
6.399999974426862e-11	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.128281247442686e-10	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
1.616562497442686e-10	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
2.104843747442686e-10	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
2.593124997442686e-10	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
3.081406247442686e-10	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
3.569687497442686e-10	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
4.057968747442686e-10	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
4.546249997442686e-10	0.000000e+00	0.000000e+00	5.000000e+00	-2.002000e-11
