Parameter,Value,Unit
VOH,5.0,V
VOL,4.00239e-07,V
VM,2.6,V
VIL,1.87,V
VIH,3.46,V
NML,1.8699995997610002,V
NMH,1.54,V
Maximum Gain,-6.444100000000006,V/V
TPHL,1.02352200747e-08,s
TPLH,1.01265321991e-08,s
Rise Time,2.80039289618e-10,s
Fall Time,5.49508713817e-10,s
Average Delay,1.01808761369e-08,s
Average Current,-3.46456739941e-06,A
Average Power,1.7322836997050002e-05,W
Peak Current,0.000242928930675,A
Minimum Current,-0.000242928930675,A
Energy / Pattern,3.4645673994100005e-13,J
