Parameter,Value,Unit
VOH,5.0,V
VOL,1.939923e-08,V
VM,2.12,V
VIL,1.52,V
VIH,2.47,V
NML,1.51999998060077,V
NMH,2.53,V
Maximum Gain,-60.93989999999992,V/V
TPHL,42.7489813334,ps
TPLH,75.7411073417,ps
Rise Time,134.081215511,ps
Fall Time,68.5406020594,ps
Average Delay,59.245044337550006,ps
Average Current,-5.16549366114,µA
Average Power,25.8274683057,µW
Peak Current,-3.88390708483e-06,µA
Minimum Current,-484.65130385000003,µA
Energy per Transition,258.274683057,fJ
