V1	V(a)	V(out)
Step Information: Bval=0  (Step: 1/2)
1.170000000000000e+00	1.170000e+00	1.170000e+00
1.180000000000000e+00	1.180000e+00	1.180000e+00
1.190000000000000e+00	1.190000e+00	1.190000e+00
1.200000000000000e+00	1.200000e+00	1.200000e+00
1.210000000000000e+00	1.210000e+00	1.210000e+00
1.220000000000000e+00	1.220000e+00	1.220000e+00
1.230000000000000e+00	1.230000e+00	1.230000e+00
1.240000000000000e+00	1.240000e+00	1.240000e+00
1.250000000000000e+00	1.250000e+00	1.250000e+00
1.260000000000000e+00	1.260000e+00	1.260000e+00
1.270000000000000e+00	1.270000e+00	1.270000e+00
1.280000000000000e+00	1.280000e+00	1.280000e+00
1.290000000000000e+00	1.290000e+00	1.290000e+00
1.300000000000000e+00	1.300000e+00	1.300000e+00
1.310000000000000e+00	1.310000e+00	1.310000e+00
1.320000000000000e+00	1.320000e+00	1.320000e+00
1.330000000000000e+00	1.330000e+00	1.330000e+00
1.340000000000000e+00	1.340000e+00	1.340000e+00
1.350000000000000e+00	1.350000e+00	1.350000e+00
1.360000000000000e+00	1.360000e+00	1.360000e+00
1.370000000000000e+00	1.370000e+00	1.370000e+00
1.380000000000000e+00	1.380000e+00	1.380000e+00
1.390000000000000e+00	1.390000e+00	1.390000e+00
1.400000000000000e+00	1.400000e+00	1.400000e+00
1.410000000000000e+00	1.410000e+00	1.410000e+00
1.420000000000000e+00	1.420000e+00	1.420000e+00
1.430000000000000e+00	1.430000e+00	1.430000e+00
1.440000000000000e+00	1.440000e+00	1.440000e+00
1.450000000000000e+00	1.450000e+00	1.450000e+00
1.460000000000000e+00	1.460000e+00	1.460000e+00
1.470000000000000e+00	1.470000e+00	1.470000e+00
1.480000000000000e+00	1.480000e+00	1.480000e+00
1.490000000000000e+00	1.490000e+00	1.490000e+00
1.500000000000000e+00	1.500000e+00	1.500000e+00
1.510000000000000e+00	1.510000e+00	1.510000e+00
1.520000000000000e+00	1.520000e+00	1.520000e+00
1.530000000000000e+00	1.530000e+00	1.530000e+00
1.540000000000000e+00	1.540000e+00	1.540000e+00
1.550000000000000e+00	1.550000e+00	1.550000e+00
1.560000000000000e+00	1.560000e+00	1.560000e+00
1.570000000000000e+00	1.570000e+00	1.570000e+00
1.580000000000000e+00	1.580000e+00	1.580000e+00
1.590000000000000e+00	1.590000e+00	1.590000e+00
1.600000000000000e+00	1.600000e+00	1.600000e+00
